cust_id,item_purchased,category,purchase_amount,size,color,season,review_rating,shipping_type,discount_applied,promo
44,16,1,50,3,11,1,13,6,1,1
45,9,1,34,1,20,3,22,3,1,1
46,22,2,2,4,10,1,5,1,1,1
47,17,2,24,3,24,3,5,6,1,1
48,13,1,35,2,5,4,21,3,1,1
49,17,2,36,2,15,3,3,6,1,1
50,10,2,11,1,10,2,22,4,1,1
51,3,2,9,2,19,2,13,6,1,1
52,20,2,40,4,8,4,23,1,1,1
53,25,2,1,2,9,3,2,3,1,1
54,20,2,5,1,16,4,15,4,1,1
55,5,4,75,2,4,3,18,4,1,1
56,11,4,9,2,11,4,6,1,1,1
57,1,1,54,4,4,3,23,6,1,1
58,5,4,45,2,24,3,20,6,1,1
59,10,2,35,2,5,3,18,3,1,1
60,2,1,60,3,25,2,22,5,1,1
61,24,2,18,3,4,3,16,2,1,1
62,16,1,49,2,15,4,23,6,1,1
63,21,3,2,1,12,2,14,3,1,1
64,23,1,60,3,11,4,3,1,1,1
65,4,3,64,1,9,1,24,5,1,1
66,1,1,17,2,18,2,24,1,1,1
67,3,2,75,1,12,4,23,1,1,1
68,5,4,14,3,8,4,20,6,1,1
69,8,1,27,3,20,3,15,4,1,1
70,2,1,51,1,6,3,20,2,1,1
71,2,1,10,2,12,1,18,2,1,1
72,6,2,29,3,7,3,5,2,1,1
73,6,2,7,2,14,4,5,6,1,1
74,14,2,66,2,21,2,3,3,1,1
75,7,1,39,3,23,2,21,2,1,1
76,16,1,66,2,3,3,3,3,1,1
77,9,1,24,1,21,3,18,3,1,1
78,6,2,34,3,7,3,9,4,1,1
79,20,2,72,2,13,2,23,3,1,1
80,11,4,77,2,14,4,2,1,1,1
81,15,3,53,4,3,3,9,6,1,1
82,18,3,77,3,13,3,2,2,1,1
83,14,2,9,1,14,2,16,1,1,1
84,6,2,21,2,22,3,17,5,1,1
85,5,4,13,1,16,2,20,5,1,1
86,23,1,76,2,5,4,21,4,1,1
87,10,2,22,3,17,2,13,1,1,1
88,18,3,34,2,9,1,13,1,1,1
89,25,2,28,2,15,1,11,3,1,1
90,11,4,64,4,17,1,12,4,1,1
91,9,1,29,3,23,3,5,2,1,1
92,16,1,80,1,9,4,22,5,1,1
93,11,4,68,2,14,4,20,1,1,1
94,24,2,43,2,18,1,21,5,1,1
95,20,2,57,1,20,2,22,3,1,1
96,21,3,81,3,17,1,14,3,1,1
97,7,1,54,1,7,2,12,2,1,1
98,18,3,73,2,21,4,24,6,1,1
99,12,2,48,4,21,2,2,4,1,1
100,10,2,21,4,10,3,13,2,1,1
101,23,1,79,2,13,1,3,2,1,1
102,5,4,66,4,24,2,22,2,1,1
103,22,2,48,3,23,4,24,4,1,1
104,4,3,70,3,19,4,16,4,1,1
105,23,1,5,3,17,2,20,1,1,1
106,1,1,77,2,5,1,12,4,1,1
107,11,4,16,3,24,3,13,5,1,1
108,21,3,48,3,14,4,7,4,1,1
109,22,2,60,3,18,2,10,4,1,1
110,25,2,66,2,23,2,2,4,1,1
111,1,1,7,2,2,3,16,5,1,1
112,2,1,56,3,18,3,26,3,1,1
113,7,1,46,2,19,2,19,3,1,1
114,9,1,35,3,13,4,7,4,1,1
115,5,4,76,1,3,3,13,6,1,1
116,20,2,75,2,8,2,14,5,1,1
117,18,3,67,1,3,2,10,3,1,1
118,15,3,13,3,25,3,22,2,1,1
119,24,2,26,3,15,1,24,1,1,1
120,5,4,57,2,15,1,19,2,1,1
121,9,1,65,3,19,3,16,2,1,1
122,19,2,53,2,14,4,18,5,1,1
123,1,1,21,3,4,2,24,1,1,1
124,24,2,70,3,4,1,7,3,1,1
125,24,2,67,2,8,2,7,4,1,1
126,19,2,35,2,10,4,12,4,1,1
127,19,2,17,3,17,2,15,6,1,1
128,24,2,70,2,8,4,24,4,1,1
129,16,1,13,2,7,2,23,5,1,1
130,6,2,48,4,14,3,18,1,1,1
131,16,1,20,3,23,1,13,4,1,1
132,20,2,10,3,10,3,15,5,1,1
133,1,1,39,2,15,1,23,1,1,1
134,24,2,46,2,23,4,1,4,1,1
135,9,1,75,3,8,1,25,6,1,1
136,15,3,62,2,18,1,17,2,1,1
137,3,2,67,2,24,4,9,3,1,1
138,21,3,24,2,22,2,23,3,1,1
139,20,2,10,2,13,4,20,6,1,1
140,5,4,76,2,24,1,14,6,1,1
141,17,2,9,3,25,1,15,1,1,1
142,7,1,27,2,22,1,25,3,1,1
143,11,4,39,3,23,1,7,3,1,1
144,5,4,29,2,1,1,3,6,1,1
145,18,3,24,2,20,1,8,2,1,1
146,13,1,76,2,21,1,21,5,1,1
147,20,2,11,1,2,1,16,5,1,1
148,18,3,45,2,18,3,11,1,1,1
149,7,1,71,2,8,1,2,6,1,1
150,14,2,57,2,24,3,8,3,1,1
151,4,3,77,3,6,1,25,5,1,1
152,23,1,28,3,22,1,21,4,1,1
153,17,2,66,1,4,3,19,2,1,1
154,10,2,36,2,13,4,8,5,1,1
155,6,2,79,2,5,1,12,4,1,1
156,22,2,58,1,14,2,19,3,1,1
157,19,2,7,2,11,1,16,5,1,1
158,9,1,49,1,25,1,6,4,1,1
159,17,2,54,4,21,1,17,5,1,1
160,7,1,8,2,5,1,14,6,1,1
161,7,1,4,2,15,3,22,3,1,1
162,1,1,30,2,14,1,6,2,1,1
163,23,1,55,2,22,3,6,6,1,1
164,20,2,48,2,18,3,10,5,1,1
165,8,1,46,1,18,2,2,3,1,1
166,8,1,41,1,25,4,4,6,1,1
167,21,3,12,4,10,1,16,6,1,1
168,7,1,8,2,9,1,16,2,1,1
169,18,3,61,2,12,3,6,2,1,1
170,11,4,11,1,7,3,9,5,1,1
171,17,2,6,2,13,1,2,6,1,1
172,19,2,16,2,3,3,12,6,1,1
173,13,1,48,2,23,3,15,4,1,1
174,9,1,27,2,22,1,10,5,1,1
175,18,3,16,3,4,4,11,2,1,1
176,5,4,67,3,23,1,4,4,1,1
177,1,1,62,3,2,2,3,4,1,1
178,10,2,23,3,12,1,13,4,1,1
179,20,2,24,3,11,1,19,1,1,1
180,4,3,12,2,23,1,25,6,1,1
181,15,3,62,3,9,1,9,6,1,1
182,14,2,42,2,1,3,23,4,1,1
183,7,1,77,4,18,3,4,6,1,1
184,20,2,10,4,1,2,12,1,1,1
185,21,3,14,3,6,2,6,2,1,1
186,25,2,13,4,20,3,21,6,1,1
187,1,1,37,1,11,3,5,5,1,1
188,18,3,75,1,18,2,9,6,1,1
189,10,2,34,2,17,2,7,2,1,1
190,3,2,63,2,13,1,20,4,1,1
191,5,4,51,4,1,1,6,3,1,1
192,9,1,57,2,8,1,15,3,1,1
193,18,3,10,3,22,3,5,2,1,1
194,2,1,81,1,20,1,6,5,1,1
195,1,1,75,2,14,2,7,2,1,1
196,11,4,6,2,12,1,19,3,1,1
197,4,3,69,2,11,3,15,4,1,1
198,16,1,59,2,2,1,8,1,1,1
199,13,1,26,2,22,4,24,5,1,1
200,9,1,54,4,9,3,14,2,1,1
201,6,2,42,1,21,3,9,4,1,1
202,3,2,3,1,1,1,19,3,1,1
203,9,1,19,3,12,2,3,2,1,1
204,16,1,19,1,25,1,8,4,1,1
205,21,3,81,2,25,1,16,6,1,1
206,17,2,45,2,20,4,6,5,1,1
207,25,2,36,3,20,3,18,3,1,1
208,7,1,72,2,20,3,5,2,1,1
209,20,2,19,2,7,2,17,6,1,1
210,15,3,78,1,14,4,8,6,1,1
211,11,4,3,3,21,1,6,1,1,1
212,20,2,73,3,13,1,18,1,1,1
213,8,1,65,3,3,1,18,2,1,1
214,8,1,74,3,16,1,20,6,1,1
215,11,4,31,3,3,3,18,4,1,1
216,16,1,45,1,15,2,4,1,1,1
217,19,2,42,3,25,2,13,3,1,1
218,23,1,29,2,18,4,11,4,1,1
219,25,2,26,1,12,2,5,6,1,1
220,2,1,69,2,6,2,6,3,1,1
221,21,3,38,1,10,2,13,2,1,1
222,9,1,49,4,12,3,20,6,1,1
223,7,1,75,4,8,2,21,1,1,1
224,14,2,22,2,22,2,24,3,1,1
225,22,2,64,1,1,3,5,3,1,1
226,11,4,3,2,14,2,8,4,1,1
227,18,3,55,3,23,2,9,3,1,1
228,12,2,71,2,22,4,18,5,1,1
229,22,2,60,2,24,2,5,6,1,1
230,15,3,9,1,20,2,22,4,1,1
231,16,1,69,3,14,1,17,5,1,1
232,3,2,7,2,3,2,7,1,1,1
233,13,1,8,3,18,4,18,2,1,1
234,24,2,64,4,25,1,21,4,1,1
235,7,1,20,1,20,3,13,4,1,1
236,23,1,70,2,6,4,13,3,1,1
237,5,4,49,3,9,4,10,4,1,1
238,6,2,71,2,1,3,6,6,1,1
239,20,2,15,2,16,1,18,3,1,1
240,14,2,32,3,25,3,5,2,1,1
241,24,2,26,4,22,4,11,3,1,1
242,10,2,69,2,16,4,17,3,1,1
243,5,4,66,3,8,3,19,6,1,1
244,13,1,81,2,14,4,4,1,1,1
245,2,1,23,1,10,2,25,1,1,1
246,15,3,34,3,5,3,9,4,1,1
247,23,1,67,4,1,2,8,2,1,1
248,24,2,47,4,4,2,20,5,1,1
249,2,1,81,2,3,4,24,2,1,1
250,8,1,28,1,21,1,18,5,1,1
251,20,2,6,3,2,1,16,2,1,1
252,8,1,32,4,7,4,1,5,1,1
253,19,2,22,2,23,3,15,3,1,1
254,4,3,54,3,6,4,25,1,1,1
255,23,1,23,2,24,4,11,6,1,1
256,16,1,1,2,5,2,18,3,1,1
257,13,1,11,4,23,2,23,2,1,1
258,8,1,34,2,19,3,21,2,1,1
259,7,1,55,1,11,2,4,2,1,1
260,12,2,38,2,7,1,5,5,1,1
261,9,1,38,1,19,4,8,1,1,1
262,12,2,58,3,12,4,25,5,1,1
263,14,2,21,2,21,3,13,4,1,1
264,19,2,27,2,18,3,19,6,1,1
265,14,2,59,1,5,1,15,6,1,1
266,1,1,40,2,8,2,8,1,1,1
267,13,1,56,3,24,3,7,2,1,1
268,24,2,35,2,14,2,15,1,1,1
269,18,3,23,2,5,2,2,6,1,1
270,3,2,25,2,5,4,9,4,1,1
271,12,2,33,4,15,1,22,3,1,1
272,23,1,50,4,25,3,22,2,1,1
273,13,1,7,2,1,3,20,1,1,1
274,5,4,14,1,20,2,18,2,1,1
275,13,1,13,2,10,2,6,2,1,1
276,1,1,66,4,11,4,16,2,1,1
277,20,2,11,4,22,1,11,2,1,1
278,17,2,10,2,9,4,6,6,1,1
279,24,2,76,2,15,2,13,2,1,1
280,21,3,50,3,22,3,16,5,1,1
281,15,3,50,1,6,1,18,1,1,1
282,2,1,42,4,5,2,1,5,1,1
283,20,2,75,2,21,3,6,1,1,1
284,24,2,11,1,13,1,8,4,1,1
285,20,2,26,2,19,3,11,5,1,1
286,8,1,20,4,25,3,24,2,1,1
287,13,1,32,3,8,3,2,6,1,1
288,16,1,18,3,3,2,10,1,1,1
289,25,2,43,2,11,4,13,1,1,1
290,5,4,66,2,25,1,21,1,1,1
291,25,2,14,2,10,4,13,5,1,1
292,6,2,7,4,23,1,9,4,1,1
293,18,3,80,2,9,2,23,3,1,1
294,8,1,20,2,24,2,3,2,1,1
295,20,2,1,2,7,2,22,6,1,1
296,23,1,23,2,10,4,3,6,1,1
297,15,3,55,1,11,2,24,1,1,1
298,18,3,7,4,18,3,20,5,1,1
299,25,2,34,2,11,4,16,5,1,1
300,21,3,61,2,13,3,8,4,1,1
301,9,1,79,2,21,2,20,6,1,1
302,20,2,76,2,9,2,14,5,1,1
303,24,2,25,3,14,3,12,2,1,1
304,15,3,41,2,22,3,9,4,1,1
305,6,2,65,2,9,4,10,4,1,1
306,24,2,40,2,21,1,11,1,1,1
307,11,4,30,1,24,3,12,2,1,1
308,7,1,13,2,15,4,8,3,1,1
309,8,1,10,2,1,1,13,5,1,1
310,6,2,3,2,25,2,21,5,1,1
311,14,2,66,2,5,4,22,5,1,1
312,12,2,33,3,20,4,17,6,1,1
313,14,2,70,3,9,2,10,4,1,1
314,6,2,58,2,17,2,13,2,1,1
315,14,2,5,2,18,3,9,6,1,1
316,13,1,5,4,15,2,21,2,1,1
317,8,1,3,2,5,1,9,3,1,1
318,24,2,63,3,21,1,19,5,1,1
319,1,1,48,2,1,4,1,5,1,1
320,19,2,55,4,24,2,2,5,1,1
321,13,1,53,3,24,3,25,5,1,1
322,21,3,17,3,15,3,23,3,1,1
323,2,1,76,1,6,4,6,5,1,1
324,10,2,59,2,15,4,11,4,1,1
325,17,2,63,2,14,3,24,5,1,1
326,14,2,51,2,5,4,19,3,1,1
327,16,1,22,2,24,1,8,6,1,1
328,5,4,23,2,21,3,7,3,1,1
329,5,4,31,2,25,1,4,3,1,1
330,22,2,12,1,24,3,5,1,1,1
331,24,2,32,2,1,4,13,2,1,1
332,17,2,79,3,1,1,9,6,1,1
333,17,2,67,2,13,4,4,1,1,1
334,24,2,45,2,21,4,21,5,1,1
335,3,2,27,2,11,1,2,4,1,1
336,24,2,66,3,13,2,13,5,1,1
337,9,1,62,1,15,1,20,2,1,1
338,24,2,40,2,6,4,19,1,1,1
339,10,2,60,2,20,4,11,2,1,1
340,19,2,14,2,21,2,14,1,1,1
341,19,2,28,3,3,3,11,2,1,1
342,9,1,1,1,3,3,22,6,1,1
343,5,4,17,2,14,2,2,4,1,1
344,15,3,20,2,18,3,20,4,1,1
345,20,2,52,2,5,4,16,5,1,1
346,18,3,40,1,14,4,20,4,1,1
347,12,2,31,3,23,2,23,4,1,1
348,15,3,22,3,19,1,15,6,1,1
349,3,2,40,2,1,1,3,3,1,1
350,9,1,68,2,9,4,13,1,1,1
351,24,2,49,2,23,2,2,1,1,1
352,20,2,71,2,21,4,15,5,1,1
353,12,2,52,4,25,1,25,4,1,1
354,21,3,45,3,25,1,17,6,1,1
355,13,1,57,1,14,1,6,3,1,1
356,13,1,23,4,12,1,17,1,1,1
357,14,2,61,3,2,2,14,5,1,1
358,2,1,37,2,14,2,16,5,1,1
359,9,1,6,4,12,3,12,2,1,1
360,21,3,55,2,14,4,6,6,1,1
361,14,2,11,2,21,3,6,5,1,1
362,25,2,77,2,24,2,2,3,1,1
363,21,3,45,2,5,1,10,3,1,1
364,19,2,69,3,25,4,7,3,1,1
365,18,3,69,3,5,3,6,3,1,1
366,7,1,69,4,8,3,13,5,1,1
367,22,2,17,2,22,2,11,6,1,1
368,6,2,21,4,6,2,4,6,1,1
369,8,1,20,2,5,2,21,5,1,1
370,2,1,21,2,20,3,9,6,1,1
371,16,1,15,2,14,4,10,2,1,1
372,21,3,64,1,17,4,8,1,1,1
373,24,2,66,3,15,3,13,5,1,1
374,5,4,8,3,24,3,22,2,1,1
375,13,1,59,1,18,2,26,6,1,1
376,23,1,13,2,14,3,20,5,1,1
377,18,3,32,1,8,1,25,2,1,1
378,16,1,13,2,20,2,17,5,1,1
379,6,2,43,3,15,4,25,4,1,1
380,25,2,10,1,12,1,23,1,1,1
381,1,1,50,4,1,1,6,6,1,1
382,13,1,6,3,11,4,10,6,1,1
383,12,2,57,2,16,4,8,6,1,1
384,23,1,58,1,12,1,5,5,1,1
385,24,2,14,2,1,1,21,1,1,1
386,19,2,74,1,25,1,3,4,1,1
387,13,1,20,3,4,2,10,2,1,1
388,5,4,74,3,20,3,22,6,1,1
389,8,1,63,2,15,3,3,6,1,1
390,4,3,23,3,18,2,18,5,1,1
391,7,1,52,2,10,4,8,1,1,1
392,24,2,67,3,8,2,24,5,1,1
393,25,2,63,4,2,2,9,4,1,1
394,18,3,46,3,13,1,18,5,1,1
395,16,1,10,2,1,2,24,6,1,1
396,21,3,46,3,4,4,25,6,1,1
397,6,2,69,1,2,1,15,5,1,1
398,2,1,27,2,10,1,6,3,1,1
399,4,3,48,1,20,4,22,3,1,1
400,16,1,16,3,3,1,11,1,1,1
401,4,3,47,2,9,4,24,3,1,1
402,25,2,72,3,15,1,24,5,1,1
403,1,1,59,3,6,1,6,2,1,1
404,21,3,26,2,15,4,21,4,1,1
405,25,2,74,2,10,2,24,6,1,1
406,12,2,55,1,20,3,14,5,1,1
407,7,1,36,2,16,2,22,2,1,1
408,10,2,57,4,21,2,7,4,1,1
409,21,3,47,3,24,2,10,2,1,1
410,19,2,32,2,4,4,9,1,1,1
411,24,2,7,3,11,2,24,1,1,1
412,12,2,10,2,10,3,4,2,1,1
413,11,4,55,2,25,3,7,6,1,1
414,13,1,80,1,24,3,22,3,1,1
415,1,1,69,3,23,4,2,6,1,1
416,5,4,12,2,11,4,2,2,1,1
417,2,1,36,3,14,2,14,3,1,1
418,15,3,62,3,1,1,21,3,1,1
419,24,2,54,3,18,2,6,5,1,1
420,19,2,72,1,21,4,11,3,1,1
421,22,2,35,1,16,2,14,3,1,1
422,17,2,21,2,23,4,11,5,1,1
423,14,2,40,2,18,1,7,6,1,1
424,16,1,7,3,21,2,6,6,1,1
425,24,2,4,2,7,4,19,5,1,1
426,12,2,68,1,21,4,9,6,1,1
427,14,2,52,2,23,4,23,2,1,1
428,1,1,72,3,2,4,21,6,1,1
429,5,4,45,4,7,4,5,3,1,1
430,15,3,75,2,7,4,17,1,1,1
431,17,2,21,2,4,3,11,6,1,1
432,9,1,57,3,6,4,10,6,1,1
433,17,2,67,1,10,1,9,3,1,1
434,20,2,73,2,15,1,8,6,1,1
435,18,3,33,3,17,2,16,6,1,1
436,5,4,9,4,14,4,12,4,1,1
437,14,2,27,3,6,3,22,3,1,1
438,13,1,31,2,16,3,2,4,1,1
439,2,1,4,2,22,4,19,2,1,1
440,11,4,31,2,22,3,10,3,1,1
441,17,2,70,4,13,4,11,6,1,1
442,10,2,62,2,13,4,18,5,1,1
443,23,1,50,2,14,1,11,6,1,1
444,23,1,48,2,12,3,12,3,1,1
445,6,2,1,2,19,3,19,6,1,1
446,4,3,10,2,14,1,25,5,1,1
447,17,2,55,2,20,3,17,6,1,1
448,19,2,63,1,22,2,12,5,1,1
449,7,1,4,2,25,3,10,4,1,1
450,13,1,26,3,16,3,5,1,1,1
451,4,3,2,3,1,3,3,6,1,1
452,13,1,12,2,17,3,19,2,1,1
453,14,2,26,2,23,3,9,2,1,1
454,13,1,37,4,16,4,4,4,1,1
455,11,4,78,1,7,3,8,4,1,1
456,3,2,81,4,7,1,12,6,1,1
457,3,2,77,1,10,1,16,1,1,1
458,7,1,80,2,3,2,25,4,1,1
459,19,2,72,3,2,4,16,1,1,1
460,9,1,11,3,2,4,14,5,1,1
461,18,3,46,3,21,3,13,6,1,1
462,4,3,74,2,25,4,15,2,1,1
463,11,4,62,2,24,1,9,2,1,1
464,13,1,62,1,15,3,3,5,1,1
465,23,1,33,2,20,4,23,4,1,1
466,20,2,69,2,17,3,4,4,1,1
467,12,2,5,3,22,4,22,3,1,1
468,1,1,32,1,15,2,21,1,1,1
469,1,1,19,1,16,1,26,3,1,1
470,19,2,27,3,17,1,17,1,1,1
471,6,2,44,3,21,3,22,2,1,1
472,16,1,53,4,24,4,25,1,1,1
473,12,2,20,3,8,4,15,3,1,1
474,5,4,23,3,14,2,15,6,1,1
475,24,2,57,4,13,3,2,1,1,1
476,21,3,47,3,12,3,3,3,1,1
477,16,1,71,2,12,2,11,3,1,1
478,24,2,37,2,9,3,13,3,1,1
479,13,1,24,4,22,4,8,3,1,1
480,8,1,65,3,25,4,9,6,1,1
481,10,2,69,2,8,3,24,5,1,1
482,9,1,69,3,16,1,8,1,1,1
483,2,1,23,2,25,4,1,1,1,1
484,10,2,54,2,24,1,15,6,1,1
485,9,1,54,3,11,3,23,3,1,1
486,18,3,25,1,3,2,2,4,1,1
487,15,3,44,2,5,1,4,6,1,1
488,11,4,49,3,19,4,20,6,1,1
489,24,2,10,3,14,2,22,5,1,1
490,22,2,66,2,9,3,8,5,1,1
491,21,3,23,2,20,4,18,1,1,1
492,5,4,50,2,20,3,13,1,1,1
493,17,2,43,2,2,1,15,5,1,1
494,1,1,29,4,19,3,23,6,1,1
495,4,3,49,2,10,4,21,2,1,1
496,8,1,17,4,6,1,9,3,1,1
497,6,2,44,1,13,1,9,2,1,1
498,21,3,20,1,20,4,22,3,1,1
499,4,3,59,2,11,2,12,3,1,1
500,18,3,80,3,20,4,24,2,1,1
501,25,2,12,3,18,1,24,4,1,1
502,4,3,26,2,6,2,5,4,1,1
503,14,2,11,1,6,1,4,2,1,1
504,18,3,5,2,11,3,8,4,1,1
505,18,3,3,2,13,4,15,3,1,1
506,25,2,44,3,8,2,19,2,1,1
507,16,1,21,2,14,1,3,1,1,1
508,19,2,1,2,12,2,26,6,1,1
509,13,1,1,1,25,4,13,6,1,1
510,25,2,61,3,6,3,15,3,1,1
511,17,2,68,2,21,1,15,1,1,1
512,17,2,27,3,25,1,7,3,1,1
513,7,1,30,3,16,4,9,4,1,1
514,16,1,46,2,16,1,12,6,1,1
515,20,2,43,1,14,4,19,5,1,1
516,9,1,48,3,5,2,21,4,1,1
517,10,2,22,3,10,1,4,1,1,1
518,4,3,30,3,20,1,3,3,1,1
519,3,2,81,2,1,1,5,4,1,1
520,2,1,35,3,3,3,20,1,1,1
521,23,1,65,2,24,2,15,3,1,1
522,19,2,22,3,7,4,11,5,1,1
523,7,1,69,2,3,2,1,6,1,1
524,15,3,21,2,15,2,25,2,1,1
525,17,2,20,2,7,3,24,3,1,1
526,5,4,18,2,6,2,8,4,1,1
527,14,2,33,1,19,4,25,5,1,1
528,25,2,4,3,25,4,19,4,1,1
529,21,3,69,1,1,4,8,2,1,1
530,19,2,65,2,15,1,13,5,1,1
531,5,4,18,4,12,4,8,6,1,1
532,15,3,32,3,18,1,10,4,1,1
533,14,2,57,3,2,4,17,2,1,1
534,15,3,41,3,17,2,21,4,1,1
535,7,1,53,3,17,1,21,4,1,1
536,25,2,26,3,13,2,8,3,1,1
537,11,4,65,1,13,1,20,6,1,1
538,3,2,30,1,22,3,6,6,1,1
539,22,2,3,4,9,2,8,3,1,1
540,5,4,29,2,23,4,16,6,1,1
541,6,2,18,2,11,2,7,4,1,1
542,11,4,8,3,8,1,4,4,1,1
543,4,3,60,4,21,2,22,4,1,1
544,20,2,79,1,19,2,19,2,1,1
545,15,3,45,1,25,3,9,5,1,1
546,5,4,13,3,12,3,11,1,1,1
547,10,2,55,2,4,4,10,3,1,1
548,11,4,31,2,3,4,4,3,1,1
549,1,1,45,2,2,4,22,6,1,1
550,1,1,10,1,14,1,12,2,1,1
551,2,1,43,2,14,3,9,6,1,1
552,5,4,59,4,9,1,7,1,1,1
553,25,2,75,2,16,1,11,2,1,1
554,23,1,40,2,24,4,8,2,1,1
555,21,3,28,2,19,3,6,2,1,1
556,7,1,38,2,24,1,24,2,1,1
557,5,4,71,3,10,4,26,6,1,1
558,17,2,41,2,24,2,5,3,1,1
559,21,3,58,3,21,1,8,2,1,1
560,16,1,22,2,10,1,5,6,1,1
561,13,1,29,3,19,1,9,3,1,1
562,11,4,46,2,3,1,2,4,1,1
563,12,2,43,2,3,3,11,5,1,1
564,18,3,80,2,2,1,20,5,1,1
565,10,2,39,2,14,4,10,4,1,1
566,1,1,24,3,11,1,18,6,1,1
567,21,3,74,2,10,2,12,6,1,1
568,3,2,31,1,19,4,6,4,1,1
569,14,2,69,3,19,3,16,3,1,1
570,20,2,14,2,17,1,20,2,1,1
571,25,2,80,4,18,1,17,5,1,1
572,11,4,57,4,6,2,12,3,1,1
573,16,1,78,4,6,3,22,4,1,1
574,14,2,49,2,5,3,8,1,1,1
575,21,3,60,3,19,1,24,3,1,1
576,12,2,67,2,16,1,24,2,1,1
577,9,1,49,2,2,4,26,1,1,1
578,20,2,33,2,2,1,13,6,1,1
579,15,3,71,2,18,1,22,4,1,1
580,15,3,22,2,23,4,13,3,1,1
581,24,2,61,2,15,2,17,3,1,1
582,24,2,81,4,5,4,3,6,1,1
583,11,4,58,3,22,2,25,6,1,1
584,19,2,59,3,25,2,16,6,1,1
585,22,2,75,2,24,2,23,3,1,1
586,22,2,4,2,8,1,4,4,1,1
587,10,2,1,1,3,4,25,1,1,1
588,22,2,67,1,13,1,18,2,1,1
589,4,3,41,2,23,1,6,5,1,1
590,17,2,51,2,15,1,10,1,1,1
591,2,1,20,1,22,1,22,5,1,1
592,1,1,18,3,14,1,18,6,1,1
593,4,3,10,2,4,1,8,3,1,1
594,5,4,16,1,9,4,20,6,1,1
595,10,2,64,1,4,4,1,4,1,1
596,18,3,58,2,20,3,12,4,1,1
597,18,3,18,4,24,3,21,6,1,1
598,13,1,50,3,7,3,10,5,1,1
599,6,2,47,3,9,4,8,1,1,1
600,4,3,7,3,21,2,18,5,1,1
601,9,1,44,2,5,2,26,1,1,1
602,1,1,19,2,13,3,23,6,1,1
603,18,3,39,3,11,3,18,4,1,1
604,8,1,27,3,9,4,10,1,1,1
605,23,1,73,1,17,1,20,6,1,1
606,9,1,13,4,5,4,18,5,1,1
607,16,1,71,2,3,2,21,5,1,1
608,10,2,4,3,18,1,4,4,1,1
609,1,1,6,1,7,1,9,4,1,1
610,24,2,35,3,18,1,22,4,1,1
611,19,2,53,2,5,3,1,3,1,1
612,16,1,14,2,2,4,23,6,1,1
613,9,1,24,3,11,1,22,2,1,1
614,5,4,32,3,11,1,2,5,1,1
615,13,1,66,2,11,4,16,5,1,1
616,15,3,81,3,14,3,2,4,1,1
617,7,1,53,3,21,2,22,3,1,1
618,1,1,38,2,13,1,2,5,1,1
619,11,4,75,3,6,2,16,2,1,1
620,1,1,15,2,5,3,22,6,1,1
621,1,1,70,2,2,1,13,1,1,1
622,23,1,8,1,19,1,20,6,1,1
623,22,2,44,1,16,2,16,4,1,1
624,18,3,51,2,24,1,23,5,1,1
625,14,2,68,4,17,1,10,2,1,1
626,13,1,60,2,19,1,16,4,1,1
627,23,1,60,2,10,2,15,5,1,1
628,15,3,25,3,2,4,17,2,1,1
629,24,2,66,2,24,1,13,1,1,1
630,18,3,71,3,1,2,23,5,1,1
631,13,1,75,1,20,1,19,1,1,1
632,4,3,49,1,23,3,17,6,1,1
